# ID	Field	StarID	I	V	P_1	dP_1	A_1
 10607	 223.1	101993	17.017	18.958	0.3935065	0.0000002	0.272
 10608	 232.4	56642	16.989	19.581	0.4525752	0.0000001	0.785
 10609	 206.4	35513	15.598	16.777	0.5250018	0.0000000	0.662
 10610	 189.6	199134	16.121	17.205	0.2809895	0.0000000	0.320
 10611	 144.6	5296	15.866	16.901	0.3131204	0.0000014	0.258
 10612	 206.2	105505	15.129	16.366	0.7703293	0.0000002	0.252
 10613	 158.4	149883	15.921	17.371	0.5960002	0.0000005	0.348
 10614	 224.5	61853	16.322	18.073	0.3144861	0.0000001	0.230
 10615	 206.1	30060	15.650	16.880	0.3875136	0.0000001	0.230
 10616	 224.8	59575	16.098	17.952	0.5185723	0.0000017	0.380
 10617	 126.1	41612	15.152	15.940	0.2791294	0.0000003	0.320
 10618	 183.3	174247	15.928	-99.99	0.4833906	0.0000001	0.769
 10619	 183.3	174085	15.732	17.053	0.4769451	0.0000001	0.785
 10620	 105.6	201344	15.993	17.568	0.6210625	0.0000001	0.468
 10621	 158.4	149995	16.465	17.966	0.4234853	0.0000001	0.766
 10622	 126.1	81411	15.187	15.865	0.3342607	0.0000006	0.224
 10623	 174.5	135826	16.390	18.078	0.3543047	0.0000004	0.280
 10624	 166.6	43869	15.737	16.895	0.3330644	0.0000003	0.285
 10625	 232.2	145335	16.734	18.867	0.3395151	0.0000001	0.295
 10626	 144.6	90536	16.095	17.234	0.3517105	0.0000006	0.446
 10627	 183.3	115540	16.181	17.444	0.2903949	0.0000001	0.278
 10628	 174.8	190691	15.963	17.597	0.3183433	0.0000004	0.190
 10629	 174.7	203979	15.906	17.446	0.5559738	0.0000006	0.494
 10630	 224.7	187126	16.485	18.290	0.5116117	0.0000006	0.533
 10631	 206.1	92741	15.880	17.193	0.5024190	0.0000000	0.592
 10632	 189.6	15217	16.019	17.475	0.5305325	0.0000011	0.378
 10633	 206.3	37237	15.221	16.578	0.6141294	0.0000001	0.222
 10634	 224.8	179654	16.384	17.994	0.2744082	0.0000001	0.267
 10635	 224.6	185704	16.864	18.842	0.4438866	0.0000002	0.763
 10636	 206.4	173995	15.909	17.211	0.5074714	0.0000000	0.593
 10637	 189.6	15229	16.429	17.848	0.5847522	0.0000002	0.471
 10638	 189.7	135195	15.666	17.365	0.4841205	0.0000002	0.832
 10639	 189.5	140502	16.515	17.667	0.2264182	0.0000001	0.172
 10640	 232.1	210027	16.147	17.973	0.4314450	0.0000004	0.235
 10641	 232.2	30357	17.091	18.965	0.3217054	0.0000002	0.244
 10642	 135.3	90254	15.985	16.993	0.3352952	0.0000010	0.267
 10643	 189.5	15260	15.887	17.088	0.3057216	0.0000002	0.239
 10644	 189.6	15239	15.899	17.267	0.3233375	0.0000002	0.248
 10645	 105.5	76010	16.216	17.778	0.4861404	0.0000000	0.776
 10646	 151.2	64	16.188	-99.99	0.5115355	0.0000042	0.580
 10647	 105.7	136194	15.218	16.716	0.5126686	0.0000001	0.681
 10648	 224.7	187167	15.820	17.756	0.5958748	0.0000003	0.359
 10649	 105.7	76990	17.641	19.242	0.3758910	0.0000001	0.855
 10650	 224.5	482	16.321	18.107	0.5241798	0.0000001	0.690
 10651	 183.4	178976	15.608	17.005	0.4506634	0.0000002	0.698
 10652	 126.4	88811	14.921	15.858	0.4990367	0.0000009	0.464
 10653	 166.8	213144	16.566	17.779	0.3273265	0.0000019	0.241
 10654	 215.2	224618	16.093	17.397	0.2648727	0.0000002	0.115
 10655	 215.3	26135	16.160	17.702	0.5332086	0.0000014	0.352
 10656	 215.4	88176	15.694	17.240	0.5554260	0.0000001	0.587
 10657	 183.4	59695	16.865	18.361	0.4896370	0.0000002	0.753
 10658	 189.6	77018	16.737	18.385	0.6282719	0.0000020	0.145
 10659	 158.2	98938	15.751	16.886	0.4396292	0.0000002	0.785
 10660	 232.3	167784	17.143	19.755	0.4948975	0.0000001	0.785
 10661	 105.8	204673	16.593	18.123	0.5563672	0.0000001	0.762
 10662	 135.4	95863	15.683	16.876	0.3147085	0.0000007	0.278
 10663	 189.6	76867	15.648	16.860	0.2769971	0.0000001	0.173
