2127.63643 12.862 0.004
2130.63574 12.689 0.004
2133.65327 12.709 0.004
2137.60708 12.473 0.004
2142.59083 12.699 0.004
2169.63624 12.877 0.004
2190.55287 12.659 0.004
2216.51539 12.902 0.004
2357.89793 12.636 0.004
2365.87341 12.852 0.004
2377.82405 12.977 0.004
2389.78735 12.673 0.004
2391.72926 12.522 0.004
2406.79249 12.562 0.004
2415.93389 12.651 0.004
2417.91227 12.544 0.004
2431.82781 12.710 0.004
2433.79153 12.634 0.004
2435.89791 12.660 0.004
2437.92951 12.617 0.004
2439.92680 12.539 0.004
2441.86395 12.990 0.004
2448.83911 12.478 0.004
2454.53990 12.692 0.004
2460.64306 12.601 0.004
2467.64842 12.727 0.004
2469.68988 12.720 0.004
2471.59929 12.558 0.004
2473.66811 12.545 0.004
2482.56992 12.444 0.004
2488.63968 13.047 0.004
2491.61110 12.567 0.004
2491.61638 12.577 0.004
2494.56067 12.788 0.004
2500.68689 12.710 0.004
2502.70439 12.667 0.004
2510.60228 12.919 0.004
2516.65515 12.846 0.004
2519.63853 13.049 0.004
2524.66633 12.567 0.004
2529.59379 12.688 0.004
2538.63897 12.807 0.004
2548.59092 13.027 0.004
2553.49331 12.460 0.004
2557.58982 12.631 0.004
2561.59720 12.978 0.004
2564.59091 12.567 0.004
2565.57613 12.861 0.004
2579.52265 13.018 0.004
2721.84077 12.829 0.004
2747.82582 12.631 0.004
2754.83622 12.798 0.004
2757.92009 13.049 0.004
2768.80043 12.916 0.004
2776.67856 12.543 0.004
2790.62697 12.758 0.004
2793.81607 12.436 0.004
2795.75476 13.026 0.004
2797.73719 12.929 0.004
2810.90855 13.027 0.004
2811.78098 12.532 0.004
2814.86024 12.861 0.004
2816.76671 12.732 0.004
2817.87805 12.668 0.004
2818.87538 12.775 0.004
2820.87433 12.706 0.004
2821.83687 12.913 0.004
2830.75308 12.915 0.004
2835.77522 12.761 0.004
2837.78215 13.075 0.004
2838.77497 12.704 0.004
2840.79607 12.638 0.004
2843.79086 12.863 0.004
2845.77754 12.806 0.004
2853.79855 12.543 0.004
2854.69389 12.764 0.004
2857.58645 12.925 0.004
2863.53345 12.662 0.004
2866.59039 12.920 0.004
2868.68502 12.918 0.004
2884.57146 12.991 0.004
2892.63268 12.841 0.004
2895.56640 12.972 0.004
2900.59550 12.519 0.004
2906.54784 12.922 0.004
2911.61740 12.506 0.004
2928.58724 12.927 0.004
